Scenario,time,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,v_10,v_11,v_12,v_13,v_14,v_15,v_16,v_17,v_18,v_19,v_20,v_21,v_22,v_23,v_24,v_25,v_26,v_27,v_28,v_29,v_30,v_31,v_32,v_33,v_34,Loading, SOC, storage_P, storage_Q
0,24,1.000000,0.994645,0.990324,0.984527,0.979473,0.974700,0.970983,0.968887,0.966726,0.965592,0.965159,0.965041,0.989984,0.989791,0.989754,0.989748,0.971230,0.968438,0.965530,0.963260,0.961302,0.959095,0.957494,0.955987,0.955428,0.955192,0.955096,0.970697,0.970474,0.970354,0.965260,0.964950,0.964793,0.964740,57.846782,45.837480, -1398.234700, -677.195973
1,1,1.000000,0.997287,0.993369,0.988081,0.983536,0.979261,0.976352,0.974750,0.972855,0.971917,0.971547,0.971433,0.993091,0.992832,0.992768,0.992763,0.975898,0.973139,0.970145,0.967716,0.965621,0.963238,0.961323,0.959564,0.958743,0.958425,0.958327,0.976098,0.975935,0.975856,0.971657,0.971390,0.971256,0.971213,27.698115,73.630803, 1200.924299, 581.634184
1,2,1.000000,0.997291,0.993769,0.988997,0.984883,0.981025,0.978304,0.976800,0.975074,0.974241,0.973897,0.973805,0.993536,0.993319,0.993255,0.993251,0.978048,0.975556,0.972810,0.970605,0.968667,0.966411,0.964577,0.962888,0.962123,0.961824,0.961738,0.978073,0.977915,0.977835,0.974028,0.973810,0.973704,0.973665,27.990602,65.946692, 768.411170, 372.158515
1,3,1.000000,0.997290,0.993923,0.989349,0.985433,0.981750,0.979271,0.977918,0.976348,0.975599,0.975322,0.975244,0.993711,0.993519,0.993465,0.993461,0.978834,0.976414,0.973719,0.971575,0.969727,0.967671,0.965976,0.964402,0.963659,0.963378,0.963285,0.979046,0.978892,0.978810,0.975371,0.975141,0.975033,0.974998,28.120738,59.865322, 608.136936, 294.534161
1,4,1.000000,0.997294,0.993947,0.989423,0.985574,0.981930,0.979554,0.978276,0.976702,0.976026,0.975823,0.975763,0.993717,0.993512,0.993463,0.993458,0.979001,0.976603,0.973956,0.971900,0.970149,0.968128,0.966461,0.964873,0.964087,0.963771,0.963655,0.979325,0.979174,0.979112,0.975762,0.975488,0.975339,0.975291,28.149949,54.667053, 519.826903, 251.763660
1,5,1.000000,0.997001,0.993958,0.989861,0.986317,0.982980,0.980826,0.979661,0.978292,0.977591,0.977340,0.977296,0.993801,0.993665,0.993623,0.993620,0.980306,0.977999,0.975457,0.973328,0.971451,0.969328,0.967576,0.965885,0.965039,0.964685,0.964564,0.980624,0.980496,0.980437,0.977366,0.977132,0.977010,0.976964,28.990100,51.897147, 276.990578, 134.152660
1,6,1.000000,0.996718,0.993146,0.988427,0.984382,0.980618,0.978113,0.976735,0.975097,0.974164,0.973827,0.973759,0.992932,0.992752,0.992714,0.992709,0.977668,0.975268,0.972409,0.970032,0.967937,0.965299,0.963128,0.961235,0.960284,0.959949,0.959893,0.977896,0.977738,0.977651,0.973867,0.973561,0.973414,0.973358,29.916194,42.477933, 941.921420, 456.193365
1,7,1.000000,0.996412,0.992547,0.987576,0.983336,0.979479,0.977387,0.976157,0.974839,0.974442,0.974388,0.974376,0.992256,0.991967,0.991895,0.991889,0.976192,0.973346,0.970383,0.968012,0.966002,0.964105,0.962346,0.960519,0.959486,0.959110,0.959098,0.977265,0.977203,0.977207,0.974210,0.973966,0.973860,0.973835,31.676386,30.000059, 1247.787388, 604.331014
1,8,1.000000,0.996623,0.994552,0.992168,0.990103,0.988367,0.987234,0.986617,0.985776,0.985158,0.984812,0.984677,0.994369,0.994195,0.994167,0.994170,0.987082,0.986076,0.985212,0.984267,0.983655,0.983126,0.982652,0.982504,0.982520,0.982525,0.982566,0.987132,0.987032,0.986974,0.985111,0.985055,0.984998,0.984986,29.565096,30.000044, 0.001506, 0.000729
1,9,1.000000,0.996980,0.997125,0.997876,0.998213,0.998503,0.999324,0.999835,1.000246,1.000732,1.001104,1.001196,0.997144,0.997076,0.997070,0.997073,0.998517,0.998288,0.998071,0.997928,0.998063,0.997976,0.997822,0.997339,0.996880,0.996758,0.996817,0.999352,0.999349,0.999370,1.000650,1.000630,1.000561,1.000513,31.239575,37.499168, -749.912414, -363.199159
