Scenario,time,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,v_10,v_11,v_12,v_13,v_14,v_15,v_16,v_17,v_18,v_19,v_20,v_21,v_22,v_23,v_24,v_25,v_26,v_27,v_28,v_29,v_30,v_31,v_32,v_33,v_34,Loading, SOC, storage_P, storage_Q
0,24,1.000000,0.995891,0.992459,0.987859,0.983848,0.980061,0.977109,0.975445,0.973729,0.972828,0.972485,0.972391,0.992189,0.992034,0.992005,0.992000,0.977308,0.975094,0.972789,0.970990,0.969438,0.967689,0.966421,0.965227,0.964784,0.964597,0.964521,0.976882,0.976705,0.976609,0.972565,0.972319,0.972194,0.972152,63.203865,45.837485, -942.343778, -456.397922
1,1,1.000000,0.997484,0.994369,0.990165,0.986553,0.983156,0.980842,0.979568,0.978060,0.977314,0.977019,0.976929,0.994146,0.993939,0.993888,0.993884,0.980486,0.978295,0.975919,0.973991,0.972328,0.970438,0.968918,0.967523,0.966872,0.966619,0.966542,0.980640,0.980510,0.980447,0.977107,0.976895,0.976788,0.976754,37.305210,76.508744, 547.878124, 265.349486
1,2,1.000000,0.997494,0.994692,0.990896,0.987625,0.984558,0.982392,0.981195,0.979821,0.979158,0.978884,0.978811,0.994505,0.994332,0.994281,0.994278,0.982192,0.980213,0.978031,0.976280,0.974741,0.972950,0.971494,0.970153,0.969546,0.969308,0.969240,0.982207,0.982082,0.982018,0.978988,0.978814,0.978730,0.978699,37.555552,72.979931, 211.728816, 102.544946
1,3,1.000000,0.997496,0.994816,0.991177,0.988063,0.985133,0.983159,0.982082,0.980832,0.980236,0.980016,0.979954,0.994647,0.994493,0.994450,0.994447,0.982816,0.980892,0.978751,0.977047,0.975580,0.973946,0.972600,0.971351,0.970761,0.970537,0.970463,0.982980,0.982858,0.982792,0.980054,0.979872,0.979785,0.979757,37.667989,71.520061, 87.592177, 42.422828
1,4,1.000000,0.997499,0.994836,0.991236,0.988175,0.985276,0.983384,0.982366,0.981114,0.980575,0.980414,0.980366,0.994651,0.994488,0.994449,0.994445,0.982948,0.981042,0.978938,0.977304,0.975914,0.974308,0.972984,0.971723,0.971099,0.970848,0.970756,0.983202,0.983081,0.983032,0.980365,0.980147,0.980028,0.979990,37.692368,71.218658, 18.084165, 8.758561
1,5,1.000000,0.997448,0.994584,0.990683,0.987310,0.984131,0.982058,0.980931,0.979603,0.978930,0.978687,0.978636,0.994425,0.994287,0.994246,0.994243,0.981578,0.979389,0.976975,0.974962,0.973191,0.971185,0.969530,0.967931,0.967132,0.966804,0.966693,0.981866,0.981743,0.981686,0.978718,0.978497,0.978383,0.978339,37.515130,66.529400, 281.355478, 136.266677
1,6,1.000000,0.997290,0.993824,0.989167,0.985171,0.981445,0.978904,0.977505,0.975835,0.974919,0.974580,0.974505,0.993605,0.993416,0.993374,0.993369,0.978530,0.976149,0.973340,0.971018,0.968969,0.966418,0.964319,0.962463,0.961541,0.961213,0.961150,0.978684,0.978528,0.978442,0.974638,0.974350,0.974210,0.974159,37.552016,50.088331, 986.464186, 477.766411
1,7,1.000000,0.997033,0.993346,0.988505,0.984367,0.980572,0.978376,0.977102,0.975712,0.975228,0.975121,0.975090,0.993067,0.992792,0.992723,0.992717,0.977386,0.974652,0.971768,0.969457,0.967485,0.965529,0.963755,0.961950,0.960960,0.960599,0.960569,0.978235,0.978153,0.978142,0.974994,0.974752,0.974644,0.974615,38.957426,30.000070, 1205.295633, 583.751318
1,8,1.000000,0.997370,0.995856,0.994154,0.992678,0.991453,0.990663,0.990234,0.989633,0.989174,0.988910,0.988806,0.995719,0.995590,0.995570,0.995573,0.990553,0.989853,0.989280,0.988619,0.988211,0.987881,0.987582,0.987537,0.987587,0.987607,0.987645,0.990591,0.990519,0.990476,0.989147,0.989114,0.989075,0.989067,33.197632,30.000027, 0.002587, 0.001253
1,9,1.000000,0.998966,1.000927,1.004207,1.006757,1.009149,1.011337,1.012597,1.013932,1.014826,1.015342,1.015483,1.001088,1.001166,1.001200,1.001206,1.010879,1.012068,1.013407,1.014492,1.015657,1.016835,1.017740,1.018314,1.018381,1.018449,1.018552,1.011488,1.011573,1.011637,1.014879,1.014993,1.015001,1.014981,53.204884,30.000053, -0.001576, -0.000763
1,10,1.000000,0.999342,1.003776,1.010970,1.017665,1.024092,1.028943,1.031619,1.035263,1.037912,1.038995,1.039392,1.003942,1.004059,1.004106,1.004108,1.029184,1.033295,1.038039,1.041541,1.044848,1.048735,1.051816,1.054423,1.055941,1.056624,1.056973,1.029364,1.029736,1.029979,1.038600,1.039248,1.039604,1.039699,89.524527,34.543384, -272.599843, -132.026130
