Scenario,time,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,v_10,v_11,v_12,v_13,v_14,v_15,v_16,v_17,v_18,v_19,v_20,v_21,v_22,v_23,v_24,v_25,v_26,v_27,v_28,v_29,v_30,v_31,v_32,v_33,v_34,Loading, SOC, storage_P, storage_Q
0,24,1.000000,0.996714,0.993285,0.988689,0.984682,0.980898,0.977948,0.976286,0.974571,0.973672,0.973328,0.973235,0.993015,0.992861,0.992831,0.992826,0.978148,0.975935,0.973632,0.971835,0.970284,0.968537,0.967270,0.966077,0.965635,0.965448,0.965372,0.977722,0.977545,0.977449,0.973409,0.973163,0.973038,0.972996,49.591713,45.837476, 0.000000, 0.000000
1,1,1.000000,0.997006,0.993890,0.989684,0.986070,0.982672,0.980356,0.979081,0.977573,0.976826,0.976532,0.976441,0.993667,0.993460,0.993409,0.993405,0.980000,0.977808,0.975430,0.973501,0.971838,0.969947,0.968427,0.967031,0.966379,0.966126,0.966049,0.980154,0.980024,0.979961,0.976619,0.976407,0.976300,0.976266,45.177489,85.640046, 0.000000, 0.000000
1,2,1.000000,0.997309,0.994507,0.990711,0.987439,0.984371,0.982205,0.981007,0.979633,0.978970,0.978696,0.978623,0.994320,0.994147,0.994096,0.994093,0.982005,0.980025,0.977843,0.976091,0.974552,0.972761,0.971304,0.969963,0.969356,0.969118,0.969050,0.982020,0.981894,0.981831,0.978800,0.978626,0.978542,0.978511,40.599865,85.640046, 0.000000, 0.000000
1,3,1.000000,0.997419,0.994740,0.991101,0.987986,0.985056,0.983082,0.982005,0.980755,0.980159,0.979938,0.979876,0.994570,0.994416,0.994374,0.994370,0.982738,0.980815,0.978673,0.976969,0.975502,0.973868,0.972522,0.971272,0.970682,0.970459,0.970385,0.982903,0.982780,0.982715,0.979977,0.979794,0.979708,0.979680,38.927683,85.640046, 0.000000, 0.000000
1,4,1.000000,0.997483,0.994820,0.991220,0.988159,0.985260,0.983368,0.982350,0.981098,0.980559,0.980398,0.980350,0.994636,0.994472,0.994433,0.994429,0.982932,0.981026,0.978922,0.977288,0.975898,0.974292,0.972968,0.971707,0.971083,0.970831,0.970740,0.983186,0.983065,0.983016,0.980349,0.980131,0.980012,0.979974,37.952471,85.640046, 0.000000, 0.000000
1,5,1.000000,0.997203,0.994339,0.990436,0.987062,0.983882,0.981809,0.980682,0.979353,0.978680,0.978437,0.978386,0.994179,0.994042,0.994000,0.993997,0.981329,0.979139,0.976724,0.974711,0.972940,0.970933,0.969277,0.967678,0.966879,0.966551,0.966440,0.981617,0.981494,0.981436,0.978468,0.978247,0.978133,0.978089,41.545770,85.640046, 0.000000, 0.000000
1,6,1.000000,0.996430,0.992961,0.988299,0.984300,0.980570,0.978027,0.976627,0.974956,0.974038,0.973699,0.973625,0.992742,0.992553,0.992510,0.992505,0.977653,0.975269,0.972458,0.970134,0.968083,0.965529,0.963428,0.961570,0.960647,0.960320,0.960257,0.977807,0.977651,0.977565,0.973757,0.973469,0.973329,0.973278,51.492116,85.640046, 0.000000, 0.000000
1,7,1.000000,0.995981,0.992291,0.987444,0.983301,0.979502,0.977304,0.976028,0.974636,0.974152,0.974045,0.974014,0.992011,0.991736,0.991666,0.991661,0.976313,0.973575,0.970688,0.968374,0.966400,0.964442,0.962666,0.960859,0.959868,0.959506,0.959476,0.977162,0.977081,0.977070,0.973918,0.973676,0.973567,0.973538,55.498959,85.640046, 0.000000, 0.000000
1,8,1.000000,0.997370,0.995856,0.994154,0.992678,0.991453,0.990663,0.990234,0.989633,0.989174,0.988910,0.988806,0.995719,0.995590,0.995570,0.995573,0.990553,0.989853,0.989280,0.988619,0.988211,0.987881,0.987582,0.987537,0.987587,0.987607,0.987645,0.990591,0.990519,0.990476,0.989147,0.989114,0.989075,0.989067,33.197655,85.640046, 0.000000, 0.000000
1,9,1.000000,0.998966,1.000927,1.004207,1.006757,1.009149,1.011337,1.012597,1.013932,1.014826,1.015342,1.015483,1.001088,1.001166,1.001200,1.001206,1.010879,1.012068,1.013407,1.014492,1.015657,1.016835,1.017740,1.018314,1.018381,1.018449,1.018552,1.011488,1.011573,1.011637,1.014879,1.014993,1.015001,1.014981,53.204894,85.640046, -0.000000, 0.000000
1,10,1.000000,0.999577,1.004009,1.011202,1.017895,1.024321,1.029171,1.031847,1.035490,1.038138,1.039221,1.039618,1.004175,1.004293,1.004339,1.004342,1.029413,1.033523,1.038265,1.041767,1.045073,1.048959,1.052039,1.054646,1.056163,1.056847,1.057196,1.029592,1.029964,1.030207,1.038826,1.039474,1.039830,1.039925,91.917314,85.640046, 0.000000, 0.000000
1,11,1.000000,1.000593,1.006703,1.015667,1.023808,1.031537,1.036254,1.039031,1.042615,1.044309,1.045034,1.045276,1.007571,1.008326,1.008472,1.008483,1.038253,1.043682,1.049422,1.054536,1.059411,1.064949,1.069216,1.073203,1.074545,1.074872,1.074998,1.036532,1.036559,1.036564,1.044710,1.045190,1.045477,1.045578,110.630328,85.640046, 0.000000, 0.000000
1,12,1.000000,0.999859,1.004615,1.012135,1.019062,1.025343,1.030655,1.033804,1.038027,1.039673,1.040302,1.040238,1.004958,1.005257,1.005385,1.005395,1.030005,1.034004,1.038934,1.042266,1.045142,1.048282,1.051074,1.053481,1.055369,1.055835,1.056082,1.030951,1.030996,1.031130,1.040153,1.040553,1.040626,1.040592,102.562162,85.640046, 0.000000, 0.000000
1,13,1.000000,1.000136,1.005121,1.013140,1.019569,1.025201,1.029183,1.031277,1.033976,1.035187,1.035436,1.035437,1.005239,1.005209,1.005231,1.005237,1.029798,1.034094,1.039591,1.044007,1.047837,1.052874,1.056675,1.060029,1.061641,1.062168,1.062343,1.029606,1.030041,1.030284,1.035796,1.036343,1.036664,1.036726,97.395281,85.640046, 0.000000, 0.000000
1,14,1.000000,0.999802,1.004212,1.011177,1.017206,1.023062,1.026890,1.028903,1.031233,1.031966,1.032109,1.032211,1.004523,1.004826,1.004909,1.004916,1.028037,1.031958,1.036459,1.040227,1.043790,1.048185,1.051833,1.054972,1.056455,1.057069,1.057285,1.027296,1.027634,1.027802,1.032345,1.032696,1.032856,1.032921,91.700502,85.640046, 0.000000, 0.000000
1,15,1.000000,0.999690,1.003641,1.009971,1.015434,1.020756,1.023684,1.025216,1.027547,1.028748,1.029220,1.029328,1.003856,1.003998,1.004028,1.004031,1.025618,1.029339,1.033464,1.036842,1.039714,1.043060,1.045958,1.048031,1.048976,1.049305,1.049418,1.024002,1.024233,1.024373,1.029081,1.029360,1.029515,1.029581,81.143398,85.640046, 0.000000, 0.000000
